ticker,name,close,Perf.YTD,Perf.3M,Perf.Y,Value.Traded,sector,extraction_day
NASDAQ:DVLT,DVLT,3.42,69.3069306930693,403.01514928665983,90.0,676644127.1999999,Electronic Technology,2025-10-26
OTC:GRLT,GRLT,0.0017,69.99999999999999,325.0,142.85714285714286,275619.96129999997,Finance,2025-10-26
NYSE:NOK,NOK,6.3,41.25560538116592,46.17169373549885,32.63157894736842,450862309.8,Electronic Technology,2025-10-26
NASDAQ:AMD,AMD,252.92,106.81985444435358,54.68640102749151,63.44836499935374,18012875395.52,Electronic Technology,2025-10-26
NYSE:BAC,BAC,52.57,19.098323516085184,8.638148377764,24.22022684310019,2046207921.8700001,Finance,2025-10-26
NYSE:RKT,RKT,17.87,57.72285966460725,20.743243243243242,7.975830815709971,653896377.37,Finance,2025-10-26
NASDAQ:CLOV,CLOV,3.82,20.504731861198735,24.025974025974016,0.7915567282321848,131106284.94,Finance,2025-10-26
NASDAQ:GOOGL,GOOGL,259.92,36.33359559402046,35.3891030315658,59.62660443407234,7447771072.8,Technology Services,2025-10-26
NASDAQ:MU,MU,219.02,157.73123087785362,97.3330930714479,105.12292203231092,5655478808.92,Electronic Technology,2025-10-26
NYSE:LUMN,LUMN,8.09,49.53789279112754,83.86363636363635,30.48387096774193,197001062.38,Communications,2025-10-26
NASDAQ:AGNC,AGNC,10.2,10.38961038961038,5.864037363777888,1.999999999999993,247135167.6,Finance,2025-10-26
NASDAQ:ERIC,ERIC,9.45,15.667074663402685,27.35849056603773,11.176470588235286,213139892.7,Electronic Technology,2025-10-26
OTC:NEWH,NEWH,0.044125,1370.8333333333333,-1.9444444444444462,838.8297872340424,887577.684375,Producer Manufacturing,2025-10-26
NASDAQ:GOOG,GOOG,260.51,36.04720996422695,35.02824858757061,58.27814569536422,4794886100.66,Technology Services,2025-10-26
NYSE:IBM,IBM,307.46,38.60788026327652,18.244750403815093,39.24818840579708,5200453152.78,Technology Services,2025-10-26
NASDAQ:MSFT,MSFT,523.61,23.04890372006675,2.174782668084646,23.108211367777585,8132894830.72,Technology Services,2025-10-26
NYSE:COMP,COMP,8.03,36.101694915254214,12.464985994397756,42.37588652482269,114426536.39999999,Technology Services,2025-10-26
NASDAQ:SNDK,SNDK,186.16,430.9754706217912,338.22975517890774,430.9754706217912,1983155033.6,Electronic Technology,2025-10-26
NYSE:LDI,LDI,3.58,73.7864077669903,102.25988700564972,70.47619047619047,35312872.980000004,Finance,2025-10-26
NYSE:FLG,FLG,12.11,27.608008429926233,7.453416149068322,2.1940928270042175,115413071.33999999,Finance,2025-10-26
NYSE:APH,APH,133.82,90.76265146115465,27.703025097814663,92.65764468759,1214280538.8799999,Electronic Technology,2025-10-26
OTC:INQD,INQD,0.0005,49900.0,400.0,400.0,4006.458,Producer Manufacturing,2025-10-26
NYSE:YMM,YMM,13.04,23.018867924528298,11.452991452991453,44.247787610619476,104343276.39999999,Technology Services,2025-10-26
NASDAQ:GTX,GTX,16.99,86.29385964912281,40.181518151815176,119.50904392764855,130594637.40999998,Producer Manufacturing,2025-10-26
NYSE:NLY,NLY,20.95,14.231188658669572,1.8968871595330767,7.4910210364289425,148364380.4,Finance,2025-10-26
NYSE:BCS,BCS,20.68,57.02353834472286,5.888376856118784,57.983193277310924,140795147.68,Finance,2025-10-26
NYSE:RDDT,RDDT,214.2,30.268199233716462,42.857142857142854,175.12683835334911,1345253326.2,Technology Services,2025-10-26
NASDAQ:CRDO,CRDO,155.55,126.55112146810373,55.317024463305046,302.979274611399,941373667.2,Technology Services,2025-10-26
NYSE:COHR,COHR,129.34,34.91185981015959,30.712481051035876,31.804748802608795,708406432.58,Electronic Technology,2025-10-26
NASDAQ:AXTI,AXTI,6.06,172.97297297297294,152.49999999999997,134.88372093023253,31664184.779999997,Electronic Technology,2025-10-26
NYSE:DX,DX,13.4,7.114308553157478,5.845181674565563,6.18066561014264,69772795.0,Finance,2025-10-26
NASDAQ:NXT,NXT,98.28,162.8510296870821,54.04388714733543,214.39539347408828,509486271.84000003,Electronic Technology,2025-10-26
NYSE:SNOW,SNOW,257.94,64.29299363057325,19.735406754090743,124.60815047021943,1333373111.1,Technology Services,2025-10-26
NYSE:NWG,NWG,15.34,52.78884462151396,9.885386819484232,61.30389064143007,77252500.78,Finance,2025-10-26
NASDAQ:VIAV,VIAV,13.75,35.2015732546706,35.2015732546706,49.456521739130444,68159588.75,Technology Services,2025-10-26
NASDAQ:AFRM,AFRM,75.39,21.147356580427456,14.513556618819788,77.42998352553542,369614326.83,Finance,2025-10-26
NASDAQ:FLEX,FLEX,64.28,66.91768371851468,29.41413327964566,85.99537037037037,311359528.28000003,Electronic Technology,2025-10-26
NASDAQ:INTR,INTR,9.01,117.10843373493974,33.28402366863905,43.471337579617824,42386589.94,Finance,2025-10-26
NASDAQ:TIGR,TIGR,10.28,60.62499999999998,-3.8353601496725926,68.24877250409163,47129657.16,Finance,2025-10-26
NYSE:AXL,AXL,6.49,10.562180579216356,33.26488706365503,5.872756933115829,28284140.39,Producer Manufacturing,2025-10-26
NYSE:JCI,JCI,112.94,41.741967871485926,2.4770891933581383,46.44709543568463,477903238.26,Producer Manufacturing,2025-10-26
NYSE:ICE,ICE,157.65,5.071980805118645,-13.99814521848235,-4.6221792001935915,659902720.8000001,Finance,2025-10-26
NYSE:LXP,LXP,9.55,17.034313725490204,17.17791411042945,-1.8499486125385376,39537601.650000006,Finance,2025-10-26
NASDAQ:LITE,LITE,179.3,113.04657794676808,74.28071539657856,171.09162382824314,727152584.4000001,Producer Manufacturing,2025-10-26
NYSE:RY,RY,147.78,23.04746044962532,12.654368043909129,19.341032060082377,572968034.82,Finance,2025-10-26
NYSE:CWK,CWK,17.08,30.381679389312968,45.8582408198121,31.68851195065534,63097516.71999999,Finance,2025-10-26
OTC:SLDC,SLDC,0.0023,35.294117647058826,14.999999999999996,76.92307692307693,8080.5831,Technology Services,2025-10-26
NASDAQ:ADI,ADI,238.01,10.450600955960825,5.016766678432759,4.05263618081664,830409511.6899999,Electronic Technology,2025-10-26
NASDAQ:HVII,HVII,10.87,9.797979797979787,6.882989183874133,9.797979797979787,36167827.089999996,Finance,2025-10-26
NASDAQ:OUST,OUST,35.8,192.4836601307189,27.58374910905203,356.0509554140127,118217864.99999999,Electronic Technology,2025-10-26
