ticker,name,close,pricescale,Perf.3M,Perf.Y,sector
NASDAQ:MULN,MULN,0.2269,10000,-99.95774674115455,-99.99999984308411,Technology Services
NASDAQ:MBIO,MBIO,3.6644,100,171.43703703703702,-85.90615384615384,Health Technology
NASDAQ:BTOG,BTOG,0.246,10000,17.92905081495685,-88.34123222748815,Consumer Non-Durables
OTC:DPLS,DPLS,0.0004,10000,33.33333333333336,-66.66666666666666,Electronic Technology
NASDAQ:IXHL,IXHL,0.2155,10000,-56.89999999999999,-92.30357142857143,Health Technology
AMEX:LGPS,LGPS,1.4107,10000,-71.44331983805668,-70.61041666666667,Finance
NASDAQ:EHGO,EHGO,0.862,10000,-12.103599469766497,-67.95539033457248,Distribution Services
NASDAQ:GIBO,GIBO,0.0666,10000,-99.39454545454547,-99.37347130761995,Technology Services
NASDAQ:SVRE,SVRE,2.92,100,-71.37254901960783,-98.94660631760887,Technology Services
NASDAQ:SONN,SONN,4.9402,100,285.953125,-30.278310940499047,Health Technology
NASDAQ:CGTX,CGTX,0.52,10000,43.64640883977901,-71.11111111111111,Health Technology
OTC:ILUS,ILUS,0.0012,10000,0.0,-79.3103448275862,Consumer Durables
NASDAQ:WAI,WAI,0.7001,100,-81.33066666666667,-91.81289285192224,Commercial Services
OTC:VPER,VPER,0.00044,10000,46.666666666666686,46.666666666666686,Electronic Technology
OTC:IPSI,IPSI,0.0058,10000,163.6363636363636,-95.71955719557195,Commercial Services
OTC:GMNI,GMNI,0.0018,10000,200.00000000000003,-10.000000000000005,Consumer Non-Durables
OTC:VGLS,VGLS,0.0001,1000000,100.0,0.0,Health Technology
NASDAQ:ARTL,ARTL,13.8513,100,159.3876404494382,72.27985074626868,Health Technology
OTC:FFNTF,FFNTF,0.0025,10000,-61.24031007751938,-96.7948717948718,Process Industries
NASDAQ:ADTX,ADTX,1.12,100,-69.48228882833787,-99.99253333333333,Health Technology
NASDAQ:PRZO,PRZO,1.42,100,129.18011620400256,100.02817298211015,Electronic Technology
OTC:FAGI,FAGI,0.0324,10000,305.0,194.54545454545453,Retail Trade
NASDAQ:PCLA,PCLA,2.0002,100,222.61290322580643,-49.995,Electronic Technology
