ticker,logoid,name,postmarket_close,postmarket_change_abs,postmarket_change,postmarket_volume,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,description,type,typespecs,update_mode,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
NYSE:WMT,walmart,WMT,98.24,-0.12000000000000455,-0.12200081333876023,1660010,98.36,0.7683638971416863,7686204,784953916277.0,40.429466499151665,Walmart Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:CMCSA,comcast,CMCSA,35.99,0.0,0.0,1635017,35.99,0.44655316773654397,10160934,134376009501.0,-14.608671092622913,Comcast Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:SOFI,sofi,SOFI,18.52,-0.05000000000000071,-0.26925148088314865,1595833,18.57,2.4834437086092676,44667703,20526593529.0,151.45762895194736,"SoFi Technologies, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:VSTS,vestis,VSTS,6.15,0.0,0.0,1579984,6.15,0.16286644951141166,3733561,810463989.9999999,-52.41118258115511,Vestis Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:VZ,verizon,VZ,43.6499,0.0999000000000052,0.22939150401838165,1551941,43.55,-0.09176416609315496,10301320,183617896929.99997,3.8005621583167932,Verizon Communications Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:UWMC,uwm-holdings,UWMC,4.2999,0.03990000000000027,0.9366197183098656,1533499,4.26,-0.6993006993007052,4908584,6812596889.0,-41.98094795481685,UWM Holdings Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:GOOG,alphabet,GOOG,180.54,-0.010000000000019327,-0.005538631957917101,1522503,180.55,0.43947485536271724,13287265,2184164738510.0,-8.782900978040889,Alphabet Inc.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:CNC,centene,CNC,33.28,-0.030000000000001137,-0.09006304413089504,1514794,33.31,-1.3913558318531642,33740892,16575156508.000002,-25.327811275728436,Centene Corporation,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:HOOD,robinhood,HOOD,94.04,-0.35999999999999943,-0.3813559322033892,1509961,94.4,-3.6538068993672157,56373423,83305069006.0,253.42895399642984,"Robinhood Markets, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:INO,inovio,INO,1.43,0.09999999999999987,7.518796992481193,1504626,1.33,-37.850467289719624,21094685,48777005.0,-65.70807627056817,"Inovio Pharmaceuticals, Inc.",stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:KEY,keycorp,KEY,18.43,-0.030000000000001137,-0.1625135427952391,1431761,18.46,1.4285714285714373,13695000,20231095383.0,38.11560580478214,KeyCorp,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NYSE:JPM,jpmorgan-chase,JPM,296.01,0.009999999999990905,0.003378378378375306,1430607,296.0,1.36986301369863,6541646,822611966797.0,35.57558138183729,JP Morgan Chase & Co.,stock,['common'],delayed_streaming_900,100,1,false,0,USD,USD
NASDAQ:TLRY,tilray,TLRY,0.5347,-0.0040000000000000036,-0.7425283088917772,1421952,0.5387,11.026380873866433,43044172,559236475.0,-73.06939737067565,"Tilray Brands, Inc.",stock,['common'],delayed_streaming_900,10000,1,false,0,USD,USD
